indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
CNMIGRATRT,UA,2015,0.3,b
CNMIGRATRT,UA,2016,0.2,
CNMIGRATRT,UA,2017,0.3,
CNMIGRATRT,UA,2018,0.4,
CNMIGRATRT,UA,2019,0.5,
CNMIGRATRT,UA,2020,0.2,
CNMIGRATRT,UK,2011,3.4,
CNMIGRATRT,UK,2012,2.6,
CNMIGRATRT,UK,2013,3.8,
CNMIGRATRT,UK,2014,4.6,
CNMIGRATRT,UK,2015,5.4,
CNMIGRATRT,UK,2016,4.4,
CNMIGRATRT,UK,2017,4.2,
CNMIGRATRT,UK,2018,3.9,
CNMIGRATRT,UK,2019,4,p
CNMIGRATRT,XK,2011,-19.4,b
CNMIGRATRT,XK,2012,8.4,e
CNMIGRATRT,XK,2013,-9.4,e
CNMIGRATRT,XK,2014,-18.7,e
CNMIGRATRT,XK,2015,-27.8,e
CNMIGRATRT,XK,2016,-1.7,e
CNMIGRATRT,XK,2017,0.2,e
CNMIGRATRT,XK,2018,-9.2,
CNMIGRATRT,XK,2019,-14.5,
CNMIGRATRT,XK,2020,1.6,ep
GROWRT,AD,2011,0,
GROWRT,AD,2012,-24.2,
GROWRT,AD,2016,19,e
GROWRT,AD,2018,18.3,e
GROWRT,AD,2019,17.8,e
GROWRT,AD,2022,25.5,
GROWRT,AL,2011,-1.5,
GROWRT,AL,2012,-1.8,
GROWRT,AL,2013,-1.9,
GROWRT,AL,2014,-2.3,
GROWRT,AL,2015,-3.5,
GROWRT,AL,2016,0.3,
GROWRT,AL,2017,-2.2,
GROWRT,AL,2018,-2.8,
GROWRT,AL,2019,-5.8,
GROWRT,AL,2020,-5.7,
GROWRT,AL,2021,-12.9,
GROWRT,AL,2022,-11.5,
GROWRT,AM,2011,3.6,
GROWRT,AM,2015,-4,
GROWRT,AM,2016,-4.2,
GROWRT,AM,2017,-4.5,
GROWRT,AM,2018,-2.5,
GROWRT,AM,2019,-1.9,
GROWRT,AM,2020,1.2,
GROWRT,AT,2011,3.9,
GROWRT,AT,2012,5.2,
GROWRT,AT,2013,6.6,
GROWRT,AT,2014,9,
GROWRT,AT,2015,13.4,
GROWRT,AT,2016,8.3,
GROWRT,AT,2017,5.6,
GROWRT,AT,2018,4.1,
GROWRT,AT,2019,4.8,
GROWRT,AT,2020,3.5,
GROWRT,AT,2021,5.2,
GROWRT,AT,2022,13.9,
GROWRT,AZ,2011,13.5,
GROWRT,AZ,2012,13.1,
GROWRT,AZ,2013,12.8,
GROWRT,AZ,2014,12.2,
GROWRT,AZ,2015,11.7,
GROWRT,AZ,2016,10.7,
GROWRT,AZ,2017,8.9,
GROWRT,AZ,2018,8.4,
GROWRT,AZ,2019,8.5,
GROWRT,AZ,2020,5.2,
GROWRT,AZ,2021,3.7,
GROWRT,AZ,2022,-2.9,
GROWRT,BA,2011,-1,
GROWRT,BA,2012,-0.9,
GROWRT,BA,2013,-1.2,
GROWRT,BA,2014,-1.5,
GROWRT,BA,2016,-1.8,
GROWRT,BA,2017,-2.7,
GROWRT,BA,2018,-2.4,p
GROWRT,BE,2011,6.8,b
GROWRT,BE,2012,5.6,b
GROWRT,BE,2013,3.8,
GROWRT,BE,2014,5,
GROWRT,BE,2015,6.5,
GROWRT,BE,2016,3.6,
GROWRT,BE,2017,4.1,
GROWRT,BE,2018,5,
GROWRT,BE,2019,5.8,
GROWRT,BE,2020,2.8,
GROWRT,BE,2021,5.4,
GROWRT,BE,2022,10.7,
GROWRT,BG,2011,-5.7,
GROWRT,BG,2012,-5.8,
GROWRT,BG,2013,-5.4,
GROWRT,BG,2014,-6,
GROWRT,BG,2015,-6.7,
GROWRT,BG,2016,-7.3,
GROWRT,BG,2017,-7.3,
GROWRT,BG,2018,-7.1,
GROWRT,BG,2019,-7,
GROWRT,BG,2020,-5,
GROWRT,BG,2021,-11.3,
GROWRT,BG,2022,-58.9,
GROWRT,BY,2011,-1.7,
GROWRT,BY,2012,-0.1,
GROWRT,BY,2013,0.5,
GROWRT,BY,2014,1.3,
GROWRT,BY,2015,1.8,e
GROWRT,BY,2016,0.7,
GROWRT,BY,2017,-1.4,
GROWRT,BY,2018,-1.8,
GROWRT,BY,2019,-7.1,
GROWRT,CH,2011,10.7,b
GROWRT,CH,2012,10.6,
GROWRT,CH,2013,12.4,
GROWRT,CH,2014,12,
GROWRT,CH,2015,10.8,
